Question,Option A,Option B,Option C,Option D,Correct Answer,Subject,Topic,Year
Which of the following is a characteristic of ionic bonds?,They form between two non-metals,They are formed by the transfer of electrons,They are formed by the sharing of electrons,They form between a metal and a non-metal,B,Chemistry,Chemical Bonding,2023
Which of the following compounds is a halogen?,Chlorine,Oxygen,Nitrogen,Carbon,A,Chemistry,Periodic Table,2023
Which of the following is used in the manufacture of soap?,Sodium hydroxide,Potassium hydroxide,Sodium carbonate,Magnesium hydroxide,A,Chemistry,Chemical Reactions,2023
Which of the following elements has the smallest atomic radius?,Na,Mg,Al,Si,D,Chemistry,Periodic Table,2023
What is the molecular formula of butane?,C4H8,C5H10,C6H12,C4H10,D,Chemistry,Organic Chemistry,2023
The principle of conservation of mass is a fundamental concept of:,Thermodynamics,Chemical reactions,Mechanics,Electromagnetic theory,B,Chemistry,Chemical Reactions,2023
The atomic number of an element is equal to:,The number of protons,The number of neutrons,The number of electrons,Both A and C,D,Chemistry,Atomic Structure,2023
Which of the following compounds is a Lewis base?,NH3,CO2,SO2,NaCl,A,Chemistry,Chemical Bonding,2023
The pH of 0.1 M NaOH is:,7,11,12,14,D,Chemistry,Acids and Bases,2023
The half-life of a radioactive substance is 10 years. What is the time required for 75% of the substance to decay?,10 years,20 years,30 years,40 years,C,Chemistry,Nuclear Chemistry,2023
Which of the following is a product of the reaction of alkyl halides with aqueous KOH?,Alcohol,Ether,Aldehyde,Ketone,A,Chemistry,Organic Chemistry,2023
What is the hybridization of the carbon atom in methane (CH4)?,sp,sp2,sp3,dsp3,C,Chemistry,Chemical Bonding,2023
Which of the following is a characteristic property of transition elements?,High electronegativity,Formation of colored compounds,Low melting points,Low atomic mass,B,Chemistry,Periodic Table,2023
Which of the following is the correct IUPAC name for CH3-CH2-COOH?,Ethanoic acid,Propanoic acid,Butanoic acid,Acetic acid,B,Chemistry,Organic Chemistry,2023
Which of the following is the most electronegative element?,Oxygen,Fluorine,Chlorine,Nitrogen,B,Chemistry,Periodic Table,2023
Which of the following is an example of a substitution reaction?,CH4 + Cl2 → CH3Cl + HCl,CH4 + O2 → CO2 + H2O,Na + Cl2 → NaCl,All of the above,A,Chemistry,Chemical Reactions,2023
Which of the following is a correct statement regarding the atomic radius?,It increases across a period,It increases down a group,It remains constant across a period,It decreases down a group,B,Chemistry,Periodic Table,2023
Which of the following compounds is an example of an alkene?,C2H4,C2H6,C3H8,C4H10,A,Chemistry,Organic Chemistry,2023
Which of the following gases is used in the preparation of ammonia?,O2,N2,CO2,Cl2,B,Chemistry,Chemical Reactions,2023
Which of the following is a redox reaction?,Fe + CuSO4 → FeSO4 + Cu,NaCl → Na + Cl2,H2 + O2 → H2O,All of the above,D,Chemistry,Redox Reactions,2023
Which of the following has the highest ionization energy?,Oxygen,Nitrogen,Fluorine,Neon,C,Chemistry,Periodic Table,2023
Which of the following is the strongest acid?,HF,HCl,HBr,HI,D,Chemistry,Acids and Bases,2023
Which of the following compounds is an example of an ester?,Acetic acid,Ethyl acetate,Acetone,Methanol,B,Chemistry,Organic Chemistry,2023
The bond angle in methane (CH4) is:,90°,120°,109.5°,180°,C,Chemistry,Chemical Bonding,2023
Which of the following elements has the highest ionization energy?,Oxygen,Fluorine,Nitrogen,Carbon,B,Chemistry,Periodic Table,2023
The pH of a solution is 4. What is the concentration of hydrogen ions?,1 × 10⁻⁴ M,1 × 10⁻⁶ M,1 × 10⁻⁸ M,1 × 10⁻³ M,A,Chemistry,Acids and Bases,2023
Which of the following is the correct electronic configuration of Fe3+?,1s² 2s² 2p⁶ 3s² 3p⁶ 3d⁵,1s² 2s² 2p⁶ 3s² 3p⁶ 3d⁶,1s² 2s² 2p⁶ 3s² 3p⁶ 3d⁷,1s² 2s² 2p⁶ 3s² 3p⁶ 3d⁸,A,Chemistry,Coordination Chemistry,2023
The molar mass of calcium carbonate (CaCO3) is:,100 g/mol,90 g/mol,120 g/mol,110 g/mol,A,Chemistry,Mole Concept,2023
Which of the following is the correct structure for butene?,C4H8,C4H10,C5H12,C3H6,A,Chemistry,Organic Chemistry,2023
Which of the following is an example of a strong acid?,H2CO3,HCl,HNO3,H3PO4,B,Chemistry,Acids and Bases,2023
Which of the following is a characteristic of ionic compounds?,They have low melting points,They are good conductors in the solid state,They are soluble in water,They have a covalent bond,C,Chemistry,Chemical Bonding,2023
The limiting reagent in a chemical reaction is the substance that:,Is in excess,Determines the rate of the reaction,Is completely consumed,None of the above,C,Chemistry,Stoichiometry,2023
Which of the following is the main product when methane is chlorinated?,Methanol,Chloroform,Methyl chloride,Ethane,C,Chemistry,Organic Chemistry,2023
Which of the following compounds is an example of a non-polar covalent bond?,HCl,Cl2,NaCl,H2O,B,Chemistry,Chemical Bonding,2023
The reaction between an acid and a base is called:,Redox reaction,Combination reaction,Neutralization reaction,Decomposition reaction,C,Chemistry,Chemical Reactions,2023
The mole concept is used to:,Determine the mass of atoms,Find the number of molecules,Determine the volume of liquids,All of the above,B,Chemistry,Mole Concept,2023
Which of the following is the strongest base?,NaOH,KOH,LiOH,Ca(OH)2,C,Chemistry,Acids and Bases,2023
Which of the following compounds is an example of a Lewis acid?,NaCl,AlCl3,NH3,H2O,B,Chemistry,Chemical Bonding,2023
