Question,Option1,Option2,Option3,Option4,Answer,Subject,Topic,Year
"Which of the following is the site of photosynthesis in cyanobacteria?","Chloroplast","Chromatophore","Thylakoid","Cytoplasm","B","Botany","Photosynthesis","2021"
"Double fertilization in angiosperms results in:","Zygote and endosperm","Embryo and fruit","Seed and fruit","Flower and seed","A","Botany","Plant Reproduction","2021"
"Which plant hormone is responsible for apical dominance?","Auxin","Gibberellin","Cytokinin","Abscisic acid","A","Botany","Plant Physiology","2021"
"Which of the following is a parasitic angiosperm?","Cuscuta","Rafflesia","Both A and B","None of the above","C","Botany","Plant Kingdom","2021"
"Vascular bundles in dicot roots are:","Radial","Concentric","Collateral","Bicollateral","A","Botany","Plant Anatomy","2021"
"Which of the following is a free-living nitrogen fixer?","Azotobacter","Rhizobium","Frankia","Anabaena","A","Botany","Microbes in Agriculture","2021"
"Haplo-diplontic life cycle is seen in:","Bryophytes","Pteridophytes","Gymnosperms","Angiosperms","B","Botany","Plant Life Cycles","2021"
"Which tissue provides maximum mechanical strength in plants?","Parenchyma","Collenchyma","Sclerenchyma","Phloem","C","Botany","Plant Anatomy","2021"
"The first stable product of C4 pathway is:","PGA","OAA","RuBP","Malate","B","Botany","Photosynthesis","2021"
"Which part of the seed stores food in monocots?","Cotyledon","Endosperm","Plumule","Radicle","B","Botany","Morphology of Flowering Plants","2021"
"Which plant was used by Mendel for his genetic experiments?","Pisum sativum","Oryza sativa","Triticum aestivum","Zea mays","A","Botany","Genetics","2021"
"Transpiration pull is caused by:","Root pressure","Cohesion-tension","Guttation","Imbibition","B","Botany","Plant Physiology","2021"
"Which of the following is a non-vascular plant?","Fern","Moss","Pine","Sunflower","B","Botany","Plant Kingdom","2021"
"The edible part of apple is:","Thalamus","Ovary","Seed","Pericarp","A","Botany","Morphology of Flowering Plants","2021"
"Which pigment gives red color to tomatoes?","Chlorophyll","Carotene","Xanthophyll","Lycopene","D","Botany","Plant Pigments","2021"
"Which of the following is a CAM plant?","Cactus","Corn","Wheat","Rice","A","Botany","Photosynthesis","2021"
"Late blight of potato is caused by:","Fungus","Bacterium","Virus","Nematode","A","Botany","Plant Pathology","2021"
"Which of the following is a synthetic auxin?","IAA","NAA","GA3","ABA","B","Botany","Plant Growth Regulators","2021"
"Wind pollinated flowers typically have:","Bright petals","Scented flowers","Large sticky pollen","Light and non-sticky pollen","D","Botany","Pollination","2021"
"Which of the following is a modified stem for storage?","Carrot","Potato","Radish","Beet","B","Botany","Morphology of Plants","2021"
"Which of the following is NOT a root function?","Anchorage","Photosynthesis","Absorption","Storage","B","Botany","Plant Morphology","2021"
"Xerophytic adaptations include:","Thick cuticle","Broad leaves","High stomatal density","Thin epidermis","A","Botany","Ecology","2021"
"Jatropha is used for production of:","Biofuel","Medicine","Timber","Paper","A","Botany","Applied Botany","2021"
"The fruit develops from:","Ovary","Stigma","Style","Anther","A","Botany","Plant Reproduction","2021"
"Vegetative propagation occurs through:","Fragmentation","Pollination","Fertilization","Seed dispersal","A","Botany","Plant Reproduction","2021"
"Mycorrhiza is an association between fungi and:","Roots","Leaves","Stems","Flowers","A","Botany","Plant-Microbe Interactions","2021"
"Which of the following is a C3 plant?","Wheat","Sugarcane","Maize","Sorghum","A","Botany","Photosynthesis","2021"
"Gibberellins do NOT:","Promote stem elongation","Induce seed germination","Cause fruit ripening","Break dormancy","C","Botany","Plant Hormones","2021"
"Monocot stems have:","Vascular bundles in a ring","Secondary growth","Scattered vascular bundles","Cambium present","C","Botany","Plant Anatomy","2021"
"Nicotine is a natural:","Insecticide","Herbicide","Fungicide","Rodenticide","A","Botany","Plant Secondary Metabolites","2021"
"Which is part of the shoot system?","Root cap","Stem","Root hairs","Root nodules","B","Botany","Plant Morphology","2021"
"Maple seeds are dispersed by:","Wind","Water","Animals","Explosion","A","Botany","Seed Dispersal","2021"
"Which is NOT an inflorescence type?","Raceme","Umbel","Tendril","Spike","C","Botany","Flower Morphology","2021"
"Venus flytrap is an example of:","Carnivorous plant","Parasitic plant","Saprophyte","Epiphyte","A","Botany","Plant Adaptations","2021"
"Abscisic acid functions in:","Promoting cell division","Inducing seed dormancy","Stimulating flowering","Enhancing fruit ripening","B","Botany","Plant Hormones","2021"
"Which of the following is a bryophyte?","Fern","Moss","Pine","Sunflower","B","Botany","Plant Kingdom","2021"
"Which plant group lacks true vascular tissue?","Bryophytes","Pteridophytes","Gymnosperms","Angiosperms","A","Botany","Plant Kingdom","2021"
"The male gametophyte in angiosperms is:","Pollen grain","Embryo sac","Ovule","Anther","A","Botany","Plant Reproduction","2021"
"Which pigment is essential for photosynthesis?","Chlorophyll","Carotene","Xanthophyll","Anthocyanin","A","Botany","Photosynthesis","2021"
"Which of the following is a micronutrient?","Nitrogen","Phosphorus","Zinc","Potassium","C","Botany","Plant Nutrition","2021"
